title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Aaryan Embassy,Yes,"2, 3 BHK  Apartment",136,Completed Projects,56 - 57.60 Lac,Bopal,AARYAN INFRABUILD PVT. LTD.,56.0,57.6,56.8
Arista Belvista,Yes,3 BHK  Apartment,54,Completed Projects,None,Ambli,Arista Life Spaces,,,
Shivalik Sharda Park View,No,3 BHK  Apartment,,Ongoing Projects,None,Shela,Shivalik Group,,,
Shivalik Legacy,Yes,4 BHK  Apartment,,Upcoming Projects,None,Judges Bunglow,Shivalik Group,,,
Shivalik Square,Yes,Commercial Shops,,Upcoming Projects,None,New Vadaj,Shivalik Group,,,
Shivalik Satyamev,Yes,Office Space,,Upcoming Projects,None,S P Ring Road,Shivalik Group,,,
Shivalik Shilp 2,Yes,Office Space,,Upcoming Projects,None,Vastrapur,Shivalik Group,,,
Shivalik Florette,No,5 BHK  Apartment,,Ongoing Projects,None,Ambli,Shivalik Group,,,
Radhe Radiance Residency,Yes,2 BHK  Apartment,92,Completed Projects,45.37 - 60.65 Lac,Motera,Radhe Infrastructure & Projects (India) Limited,45.37,60.65,53.01
Anchor Yash Arian,Yes,"2, 3 BHK  Apartment",238,Completed Projects,53.65 - 93.84 Lac,Navrangpura,Anchor Realty,53.65,93.84,73.745
Sun Sky Park,Yes,"3, 4, 5 BHK  Apartment",252,Ongoing Projects,None,Ambli,Sun Builders Group,,,
Sun Centrum,Yes,3 BHK  Apartment,21,Completed Projects,None,Navrangpura,Sun Builders Group,,,
Narayan Krupal Bachpan,Yes,"2, 3 BHK  Apartment",142,Ongoing Projects,None,Shela,Narayankrupa Infra,,,
Narayan Krupal Pride,No,3 BHK  Apartment,7,Completed Projects,None,Navrangpura,Narayankrupa Infra,,,
Narayan Krupal Heritage,No,"2, 3 BHK  Apartment",74,Completed Projects,None,Prahlad Nagar,Narayankrupa Infra,,,
Silver Pearl,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Chanakyapuri,NB Developer,,,
Aaryan Himali Appartment,No,2 BHK  Apartment,34,Completed Projects,None,Paldi,Aaryan Group,,,
Aaryan Achal Apartment,No,2 BHK  Apartment,16,Completed Projects,None,Vasna,Aaryan Group,,,
Satva Satva III,No,"2, 3 BHK  Apartment",186,Completed Projects,15.12 - 27 Lac,Nava Naroda,Satva Galaxy Group,15.12,27.0,21.06
Satva Gokul 2,No,2 BHK  Apartment,169,Ongoing Projects,16.25 Lac,Kathwada,Satva Galaxy Group,16.25,16.25,16.25
Aaryan Vandematram Appartment,No,"1, 2 BHK  Apartment",206,Completed Projects,None,Ghatlodiya,Aaryan Group,,,
Aaryan Vandematram Township,No,2 BHK  Apartment,124,Completed Projects,None,Gota,Aaryan Group,,,
Ganesh Shangrila,No,3 BHK  Apartment,115,Completed Projects,None,Thaltej,Ganesh Housing Corporation Limited,,,
Ganesh Satva,No,"2, 3 BHK  Apartment",208,Completed Projects,None,Paldi,Ganesh Housing Corporation Limited,,,
Shayona Darshan Bunglows,No,3 BHK  Apartment,53,Completed Projects,1.62 Cr.,Ranip,Shayona Land Corporation,162.0,162.0,162.0
Shayona Residency,No,"1, 2 BHK  Apartment",112,Completed Projects,None,Nava Naroda,Shayona Land Corporation,,,
Shree Radha Jaldeep Icon,Yes,"2, 3 BHK  Apartment",84,Ongoing Projects,48.52 - 72.15 Lac,Makarba,Shree Radha Krishna Group,48.52,72.15,60.33500000000001
Shree Radha Jaldeep Vertex,Yes,"3, 4 BHK  Apartment",45,Ongoing Projects,1.57 - 1.79 Cr.,Ambli,Shree Radha Krishna Group,157.0,179.0,168.0
Shree Rang Pineapple,No,4 BHK  Apartment,49,Completed Projects,1.02 Cr.,Chandkheda,Shree Rang Infrastructure,102.0,102.0,102.0
Shayona Harmony,No,4 BHK  Apartment,32,Completed Projects,None,Naroda,Shayona Land Corporation,,,
Shayona City,No,"1, 2, 3 BHK  Apartment",,Completed Projects,24.20 - 39.50 Lac,Chanakyapuri,Shayona Land Corporation,24.2,39.5,31.85
Shayona Krupa,No,3 BHK  Apartment,52,Completed Projects,None,Chanakyapuri,Shayona Land Corporation,,,
Shree Radha Jaldhara 319,Yes,3 BHK  Apartment,37,Completed Projects,73 Lac,Sanand,Shree Radha Krishna Group,73.0,73.0,73.0
Shree Radha Jaldhara III,No,3 BHK  Apartment,,Completed Projects,None,Sanand,Shree Radha Krishna Group,,,
Ganesh Maple Tree,Yes,"3, 4 BHK  Apartment",512,Completed Projects,1.32 - 2.43 Cr.,Memnagar,Ganesh Housing Corporation Limited,132.0,243.00000000000003,187.5
Ganesh Suyojan,No,3 BHK  Apartment,96,Completed Projects,89.43 Lac,S G Highway,Ganesh Housing Corporation Limited,89.43,89.43,89.43
Ganesh Sundarvan Epitome,No,4 BHK  Apartment,46,Completed Projects,None,Jodhpur,Ganesh Housing Corporation Limited,,,
Ganesh Malabar County,No,"2, 3 BHK  Apartment",598,Completed Projects,35.71 Lac,S G Highway,Ganesh Housing Corporation Limited,35.71,35.71,35.71
Ganesh Malabar County II,No,3 BHK  Apartment,442,Completed Projects,50 - 55.59 Lac,S G Highway,Ganesh Housing Corporation Limited,50.0,55.59,52.795
Shree Rang City,No,Residential Plot,68,Completed Projects,72.59 Lac,Chandkheda,Shree Rang Infrastructure,72.59,72.59,72.59
A Shridhar Kaveri Kadamb,Yes,2 BHK  Apartment,100,Ongoing Projects,43 Lac,Shilaj,A Shridhar,43.0,43.0,43.0
A Shridhar Kaveri Trisara,Yes,2 BHK  Apartment,140,Ongoing Projects,None,Shilaj,A Shridhar,,,
A Shridhar Kaveri Soham,Yes,3 BHK  Apartment,140,Ongoing Projects,58.39 Lac,Bopal,A Shridhar,58.39,58.39,58.39
