title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Rajyash Sahaj Sapience,No,"2, 3 BHK  Apartment",100,Completed Projects,26.40 - 32.40 Lac,Vasna,Rajyash Group,26.4,32.4,29.4
Rajyash Reevera,No,"1, 2 BHK  Apartment",205,Completed Projects,24.70 - 35.10 Lac,Vasna,Rajyash Group,24.7,35.1,29.9
Popular Domain,No,4 BHK  Apartment,66,Ongoing Projects,2.41 - 3.22 Cr.,S G Highway,Popular Infra Build Pvt. Ltd.,241.0,322.0,281.5
Goyal Riviera Harmony,No,4 BHK  Apartment,48,Completed Projects,None,Prahlad Nagar,Goyal & co.,,,
Simandhar Tower,No,"2, 3 BHK  Apartment",,Completed Projects,None,Bodakdev,Simandhar Developers,,,
Shivalik Shilp,Yes,Office Space,,Completed Projects,60 Lac - 9.50 Cr.,S G Highway,Shivalik Group,60.0,950.0,505.0
Vincitore Valley,Yes,"2, 3 BHK  Apartment",267,Upcoming Projects,40 - 48.15 Lac,Hathijan,Not known,40.0,48.15,44.075
Sun South Trade Centre,Yes,Office Space,122,Completed Projects,33.22 Lac,South Bopal,Not known,33.22,33.22,33.22
Gajanan Arcade,Yes,Business Center,,Upcoming Projects,45 Lac,Vastral,Not known,45.0,45.0,45.0
Proxima,No,2 BHK  Apartment,,Upcoming Projects,43.50 Lac,Shela,Not known,43.5,43.5,43.5
Shivam Pearl 79,Yes,"2, 3 BHK  Apartment",79,Ongoing Projects,None,Shilaj,Not known,,,
Nebula Aavas,Yes,"1, 2 BHK  Apartment",,Upcoming Projects,18.01 - 22.35 Lac,Sanand,Not known,18.01,22.35,20.18
Broghar Sky City,No,Residential Plot,,Ongoing Projects,2.88 Lac,Dholera,Not known,2.88,2.88,2.88
Iconic Shyamal,Yes,Office Space,,Ongoing Projects,64.50 Lac,Shyamal,Not known,64.5,64.5,64.5
Rajyash Regius,Yes,"4, 5 BHK  Apartment",438,Upcoming Projects,1.51 - 3.28 Cr.,Bopal,Not known,151.0,328.0,239.5
Pacifica Amara,Yes,"2, 3 BHK  Apartment",392,Upcoming Projects,39 - 54 Lac,Sanathal,Not known,39.0,54.0,46.5
Palash Homes,Yes,"1, 2 BHK  Apartment",441,Upcoming Projects,21.65 - 36.87 Lac,Shantipura,Not known,21.65,36.87,29.259999999999998
Rameshwar City,No,3 BHK  Apartment,,Completed Projects,67.99 Lac,Kasindra,Not known,67.99,67.99,67.99
Aaron Spectra,Yes,Business Center,,Ongoing Projects,59.99 Lac - 1.06 Cr.,Bodakdev Sindhubhavan Road,Not known,59.99,106.0,82.995
Safal Samprat Residency,No,3 BHK  Apartment,30,Completed Projects,58.98 Lac,Satellite,HN Safal Infra Developers Pvt.Ltd.,58.98,58.98,58.98
Safal Summit,No,"2, 3 BHK  Apartment",15,Completed Projects,None,Satellite,HN Safal Infra Developers Pvt.Ltd.,,,
Iscon Platinum,Yes,"3, 4 BHK  Apartment",1036,Completed Projects,89.33 Lac - 1.97 Cr.,Bopal,Iscon Group,89.33,197.0,143.165
Dholera Expressway City,No,Residential Plot,171,Upcoming Projects,5.49 - 10.47 Lac,Dholera,Smart Homes Infrastructure Pvt. Ltd.,5.49,10.47,7.98
Mahadev Platinum,No,"2, 3 BHK  Apartment",220,Completed Projects,47 - 80 Lac,Ghodasar,Not known,47.0,80.0,63.5
Riviera Elite,Yes,"4, 5 BHK  Apartment",204,Completed Projects,2.30 - 4.28 Cr.,Khadiya,Not known,229.99999999999997,428.0,329.0
Avikam Giriraj,No,3 BHK  Apartment,,Completed Projects,65 Lac,Zundal,Not known,65.0,65.0,65.0
Modi Avenue,No,Commercial Shops,,Completed Projects,1.25 Cr.,Thakkarbapanagar,Not known,125.0,125.0,125.0
Vibrant Silver,No,2 BHK  Apartment,117,Completed Projects,None,Bopal,Not known,,,
Elite Magnum,No,Showrooms,202,Completed Projects,None,Bhuyangdev,Not known,,,
Navjivan Vihar Flats,No,1 RK  Apartment,375,Completed Projects,8 Lac,Geratpur,Not known,8.0,8.0,8.0
Signature 2,Yes,Office Space,,Completed Projects,None,Sarkhej,Not known,,,
Upvan Avenue,No,3 BHK  Apartment,70,Completed Projects,57 Lac,Vaishno Devi Circle,Not known,57.0,57.0,57.0
Aantarkshitij Phase 3,No,Agricultural/Farm Land,184,Completed Projects,3.55 Cr.,Rancharda,Not known,355.0,355.0,355.0
Samta Complex,No,Commercial Shops,,Completed Projects,85 Lac,Relief Road,Not known,85.0,85.0,85.0
Vibhuti Aniket Elegance,No,2 BHK  Apartment,50,Completed Projects,42 Lac,Chandkheda,Not known,42.0,42.0,42.0
Dev Atelier,No,3 BHK  Apartment,50,Completed Projects,1.21 Cr.,Anand Nagar,Not known,121.0,121.0,121.0
Empire Skyline,No,4 BHK  Apartment,,Completed Projects,2.05 Cr.,Science City,Not known,204.99999999999997,204.99999999999997,204.99999999999997
Shreeji Shreenath Swara,No,2 BHK  Apartment,,Completed Projects,None,Maninagar,Not known,,,
Applewoods Sorrel,No,2 BHK  Apartment,1004,Completed Projects,None,Khadiya,Not known,,,
Applewoods Villa Santolina,No,4 BHK  Apartment,170,Completed Projects,None,Khadiya,Not known,,,
Antilia One,No,3 BHK  Apartment,200,Completed Projects,69 Lac,Ghatlodiya,Not known,69.0,69.0,69.0
Art Nirman Shree Vishnudhara Gardens,Yes,"2, 3 BHK  Apartment",350,Completed Projects,43.16 - 63 Lac,S G Highway,Not known,43.16,63.0,53.08
Avalon Courtyard,No,3 BHK  Apartment,150,Completed Projects,None,Maninagar,Not known,,,
Ananya Allium,No,2 BHK  Apartment,162,Completed Projects,66 Lac,Tragad,Not known,66.0,66.0,66.0
Alpine Heights,No,2 BHK  Apartment,88,Completed Projects,68 - 70 Lac,Navrangpura,Not known,68.0,70.0,69.0
Aashray Atulyam,Yes,"2, 3 BHK  Apartment",434,Completed Projects,47.40 - 52.92 Lac,Shilaj,Not known,47.4,52.92,50.16
31five,No,Office Space,168,Completed Projects,None,Prahlad Nagar,Not known,,,
Aksharth Elegance,No,2 BHK  Apartment,52,Completed Projects,50 Lac,Tragad,Not known,50.0,50.0,50.0
Shivalik High Street,No,Office Space,,Completed Projects,85 Lac,Vastrapur,Not known,85.0,85.0,85.0
Rushabhdev Sharan Circle Homes,No,"2, 3 BHK  Apartment",342,Completed Projects,40.47 Lac - 1.82 Cr.,Zundal,Not known,40.47,182.0,111.235
Riviera Springs,Yes,"3, 4 BHK  Apartment",,Completed Projects,1.17 - 1.40 Cr.,Shela,Not known,117.0,140.0,128.5
Mauryansh Elanza,No,Office Space,,Completed Projects,6 Cr.,Satellite,Not known,600.0,600.0,600.0
Aaryan Aavishkaar,Yes,Office Space,,Completed Projects,58 Lac,Khadiya,Not known,58.0,58.0,58.0
Indraprasth Shivanta,Yes,3 BHK  Apartment,408,Completed Projects,70 Lac - 1.39 Cr.,Ambli,Not known,70.0,139.0,104.5
Diva Height,Yes,2 BHK  Apartment,207,Completed Projects,30 - 35 Lac,Gota,Not known,30.0,35.0,32.5
Aaryan Aaviskaar,No,3 BHK  Apartment,329,Completed Projects,72 Lac,Shela,Not known,72.0,72.0,72.0
Abcd Enclave,Yes,Residential Plot,,Completed Projects,12.50 - 60 Lac,Dholera,Not known,12.5,60.0,36.25
Elite Mercury,Yes,2 BHK  Apartment,192,Completed Projects,55 - 63 Lac,Tragad,Not known,55.0,63.0,59.0
Trade Center,Yes,Office Space,145,Completed Projects,28.50 Lac,South Bopal,Not known,28.5,28.5,28.5
Abhishree Adroit,No,Hotel & Restaurant,115,Completed Projects,None,Vastrapur,Not known,,,
Sankalp Grace 3,Yes,4 BHK  Apartment,,Completed Projects,1.76 - 2.48 Cr.,Thaltej,Not known,176.0,248.0,212.0
Ratnaakar 9 Square,No,Office Space,388,Completed Projects,79 Lac - 1.08 Cr.,Vastrapur,Not known,79.0,108.0,93.5
Aanira One,No,4 BHK  Apartment,52,Completed Projects,2.50 Cr.,Gota,Not known,250.0,250.0,250.0
Sun South Winds,No,3 BHK  Apartment,414,Completed Projects,41.47 - 78 Lac,South Bopal,Not known,41.47,78.0,59.735
Sun Orbit,No,Office Space,131,Completed Projects,58 Lac - 6.51 Cr.,Bodakdev,Not known,58.0,651.0,354.5
Shreeya Antilia,Yes,"4, 5, 7 BHK  Apartment",,Completed Projects,2.40 - 12.75 Cr.,Sindhubhavan Road,Not known,240.0,1275.0,757.5
Kalhaar Exotica,No,Residential Plot,,Completed Projects,15.40 - 18.31 Cr.,Science City,Not known,1540.0,1830.9999999999998,1685.5
Estella,Yes,"2, 3 BHK  Apartment",172,Completed Projects,65 - 70 Lac,South Bopal,Not known,65.0,70.0,67.5
Goyal Orchid Whitefield,No,2 BHK  Apartment,576,Completed Projects,None,Makarba,Not known,,,
Aristo Akalpya,Yes,3 BHK  Apartment,,Completed Projects,1.10 - 1.30 Cr.,Gota,Not known,110.00000000000001,130.0,120.0
Shyam Elegance,No,"2, 3 BHK  Apartment",166,Completed Projects,63 - 92.25 Lac,Satellite,Not known,63.0,92.25,77.625
Sahitya Elenza,Yes,"2, 3 BHK  Apartment",112,Completed Projects,32 - 47 Lac,Naroda,Not known,32.0,47.0,39.5
Adani Atrius,Yes,"2, 3 BHK  Apartment",,Completed Projects,60 - 85 Lac,Jagatpur,Not known,60.0,85.0,72.5
Satyesh Residency,No,"1, 2 BHK  Apartment",,Completed Projects,None,Shela,Not known,,,
Marigold Apartments,Yes,"2, 3 BHK  Apartment",489,Completed Projects,46.50 Lac,South Bopal,Not known,46.5,46.5,46.5
Krish Cubical,Yes,Office Space,359,Completed Projects,1.05 - 1.12 Cr.,Thaltej,Not known,105.0,112.00000000000001,108.5
World Trade Tower,Yes,Office Space,,Completed Projects,79.52 Lac,Makarba,Not known,79.52,79.52,79.52
Zion Prime,Yes,Office Space,74,Completed Projects,1.35 Cr.,Thaltej,Not known,135.0,135.0,135.0
Zion Z1,No,Office Space,,Completed Projects,50.57 Lac,Thaltej,Not known,50.57,50.57,50.57
Balaji Paragon,No,Office Space,,Completed Projects,None,Ellisbridge,Not known,,,
Greentech Residency Premium,No,Residential Plot,,Ongoing Projects,5 Lac,Dholera,NESTORIA BUILDCON PVT LTD,5.0,5.0,5.0
Titanium City Center,No,Office Space,1594,Completed Projects,29 Lac,Satellite,Not known,29.0,29.0,29.0
Shapath Hexa,No,Office Space,,Completed Projects,3.50 Cr.,S G Highway,Not known,350.0,350.0,350.0
Shree Lakshminarayan Residency,Yes,3 BHK  Apartment,168,Completed Projects,None,Bopal,Not known,,,
Iscon Emporio,No,Office Space,455,Completed Projects,59.57 Lac - 8.63 Cr.,Satellite,Not known,59.57,863.0000000000001,461.2850000000001
Amrapali Lakeview Tower,No,3 BHK  Apartment,,Completed Projects,85 Lac - 10 Cr.,Vastrapur,Not known,85.0,1000.0,542.5
Rajyash Reeva,Yes,3 BHK  Apartment,,Completed Projects,46.50 - 50.22 Lac,Vasna,Not known,46.5,50.22,48.36
Royal Glory,Yes,"2, 3 BHK  Apartment",91,Completed Projects,35.37 - 43.20 Lac,Ring Road  West,Not known,35.37,43.2,39.285
Adani Shantigram,No,"2, 3, 4 BHK  Apartment",250,Completed Projects,46 Lac - 1.80 Cr.,Vaishno Devi Circle,Not known,46.0,180.0,113.0
Titanium Heights,No,Office Space,301,Completed Projects,30.74 Lac - 1.09 Cr.,Prahlad Nagar,Not known,30.74,109.00000000000001,69.87
Safal Prelude,No,Office Space,,Completed Projects,50 - 55 Lac,Prahlad Nagar,Not known,50.0,55.0,52.5
Safal Parisar 2,No,3 BHK  Apartment,570,Completed Projects,None,South Bopal,Not known,,,
Greentech Residency,No,3 BHK  Apartment,,Completed Projects,8 - 36 Lac,Dholera,Not known,8.0,36.0,22.0
Dwarkesh Business Hub,Yes,Office Space,,Completed Projects,None,Motera,Not known,,,
Casa Vyoma,Yes,"2, 3, 4 BHK  Apartment",,Completed Projects,70.68 Lac - 1.69 Cr.,Vastrapur,Not known,70.68,169.0,119.84
Krupal Pathshala City Centre,Yes,Office Space,756,Completed Projects,10 - 10.00 Lac,Ashram Road,Not known,10.0,10.0,10.0
Elenza Greens,Yes,2 BHK  Apartment,323,Completed Projects,None,South Bopal,Not known,,,
City Gate,No,Commercial Shops,350,Completed Projects,None,Vasna,Not known,,,
Pushpak Corner,Yes,Business Center,247,Completed Projects,1.47 Cr.,Naroda,Not known,147.0,147.0,147.0
Vibrant Silver Ii,No,2 BHK  Apartment,47,Completed Projects,None,Bopal,Not known,,,
Shiv Business Hub,Yes,Commercial Shops,,Completed Projects,23.74 Lac - 1.09 Cr.,Nikol,Not known,23.74,109.00000000000001,66.37
Sun Aspire,Yes,3 BHK  Apartment,,Completed Projects,None,200ft Ring Road,Not known,,,
Sai Simran Residency,No,Showrooms,68,Completed Projects,None,Chandkheda,Not known,,,
Laxmi Villa Greens,No,Hotel & Restaurant,,Completed Projects,None,Naroda,Not known,,,
Tirupati Solitaire Reside,Yes,4 BHK  Apartment,,Completed Projects,3.88 Cr.,Bodakdev,Not known,388.0,388.0,388.0
Tulsi Residency,Yes,2 BHK  Apartment,322,Completed Projects,27 Lac,Naroda,Not known,27.0,27.0,27.0
Aarav Heritage,No,Residential Plot,,Completed Projects,5.12 - 18.85 Lac,Bholad,Not known,5.12,18.85,11.985000000000001
Solis One,Yes,3 BHK  Apartment,,Completed Projects,None,South Bopal,Not known,,,
Motikunj Society,No,6 BHK  Apartment,,Completed Projects,5.25 Cr.,Navrangpura,Not known,525.0,525.0,525.0
Setu Vertica,No,"2, 3 BHK  Apartment",,Completed Projects,60 - 72.75 Lac,Gota,Not known,60.0,72.75,66.375
Shangrila Arcade,No,Office Space,,Completed Projects,1.71 Cr.,Shyamal,Not known,171.0,171.0,171.0
Pinnacle Business Park,Yes,Office Space,,Completed Projects,None,Prahlad Nagar,Not known,,,
Godrej Vanaangan,Yes,1 BHK  Apartment,294,Completed Projects,39 Lac,Jagatpur,Not known,39.0,39.0,39.0
Applewoods Township,No,Commercial Shops,,Completed Projects,None,South Bopal,Not known,,,
Panchshil Residency,No,2 BHK  Apartment,175,Completed Projects,45 Lac,Gota,Not known,45.0,45.0,45.0
Aatrey Ivaan,Yes,2 BHK  Apartment,,Completed Projects,None,Nana Chiloda,Not known,,,
Pearl 79,Yes,3 BHK  Apartment,,Completed Projects,None,Shilaj,Not known,,,
Madhuvan Glory,Yes,2 BHK  Apartment,,Completed Projects,30 Lac,Naroda,Not known,30.0,30.0,30.0
323 Corporate Park,Yes,Office Space,,Completed Projects,1.03 Cr.,Ellisbridge,Not known,103.0,103.0,103.0
Shilp Paradise,Yes,4 BHK  Apartment,72,Completed Projects,1.99 - 2.30 Cr.,Bodakdev,Not known,199.0,229.99999999999997,214.5
Soham Bungalow,No,3 BHK  Apartment,,Completed Projects,35.50 Cr.,Nikol,Not known,3550.0,3550.0,3550.0
Royal Heights,Yes,"2, 3 BHK  Apartment",,Completed Projects,54.58 - 67.32 Lac,Gota,Not known,54.58,67.32,60.949999999999996
Mangalmurti Residency,No,2 BHK  Apartment,,Completed Projects,16.65 Lac,Narolgam,Not known,16.65,16.65,16.65
Silver Harmony 2,Yes,"3, 4 BHK  Apartment",184,Ongoing Projects,1.10 - 1.47 Cr.,Gota,Not known,110.00000000000001,147.0,128.5
Tirth One,No,2 BHK  Apartment,,Completed Projects,None,Narolgam,Not known,,,
Shri Parshva Orion,Yes,3 BHK  Apartment,,Completed Projects,1.10 Cr.,Paldi,Not known,110.00000000000001,110.00000000000001,110.00000000000001
Aristo Anandam,Yes,3 BHK  Apartment,,Completed Projects,78 Lac,Vaishno Devi Circle,Not known,78.0,78.0,78.0
Pavitra Enclave,Yes,"2, 3 BHK  Apartment",,Completed Projects,34.27 - 35.14 Lac,Tragad,Not known,34.27,35.14,34.705
Ashapura Divyapunj Bungalows,Yes,Residential Plot,27,Completed Projects,5 Cr.,Chandkheda,Not known,500.0,500.0,500.0
Abcd Enclave Iv,Yes,Residential Plot,24,Completed Projects,24 Lac,Dholera,Not known,24.0,24.0,24.0
Piccadilly Square Ii,Yes,Residential Plot,,Completed Projects,24.10 Lac,Dholera,Not known,24.1,24.1,24.1
Satva Elegance,Yes,"2, 3 BHK  Apartment",,Ongoing Projects,None,Nikol,Satva Galaxy Group,,,
Satva Imperia,Yes,"2, 3 BHK  Apartment",168,Upcoming Projects,None,Naroda,Satva Galaxy Group,,,
Shaligram Plus,Yes,Office Space,1 Acres,Completed Projects,None,Chandlodia,Not known,,,
Alok Heights,No,3 BHK  Apartment,,Completed Projects,34 Lac,Naranpura,Not known,34.0,34.0,34.0
Umang Vatva,No,1 BHK  Apartment,507,Completed Projects,9.50 Lac,Vatva,Not known,9.5,9.5,9.5
Hr Eternia,Yes,"2, 3 BHK  Apartment",233,Completed Projects,37.40 - 59.50 Lac,Shela,Not known,37.4,59.5,48.45
Shilp One,Yes,Office Space,,Completed Projects,None,Shilaj,Not known,,,
Rav Green City Dholera,No,Residential Plot,,Completed Projects,5.86 Lac,Dholera,Not known,5.86,5.86,5.86
Balaji Sahitya Hills And Icon,Yes,2 BHK  Apartment,280,Completed Projects,31 - 35 Lac,Naroda,Not known,31.0,35.0,33.0
Sun Gravitas,Yes,Office Space,,Completed Projects,26 - 37 Lac,Shyamal Cross Road,Not known,26.0,37.0,31.5
Shayona Viente Villa,No,4 BHK  Apartment,,Completed Projects,4 Cr.,Thaltej,Not known,400.0,400.0,400.0
Progressive Amdavad,Yes,2 BHK  Apartment,,Completed Projects,58.25 Lac,Jagatpur,Not known,58.25,58.25,58.25
Kailash Kunj Society,No,3 BHK  Apartment,,Completed Projects,3.75 Cr.,Nana Chiloda,Not known,375.0,375.0,375.0
Navkar Kalasagar Heights,No,"2, 3 BHK  Apartment",360,Completed Projects,29.37 - 72.58 Lac,Ranip,Not known,29.37,72.58,50.975
Anand Sukirti Vihar,No,3 BHK  Apartment,,Completed Projects,None,Sanand,Not known,,,
Safal Orchid Blues,Yes,2 BHK  Apartment,,Completed Projects,38.73 - 44.15 Lac,Khadiya,Not known,38.73,44.15,41.44
Arham Exotica,No,Residential Plot,,Completed Projects,3 Lac,Dholera,Not known,3.0,3.0,3.0
Lalbhai Khodiyar Upvan,Yes,3 BHK  Apartment,157,Completed Projects,65 Lac,Bopal,Not known,65.0,65.0,65.0
Kailash Royal,Yes,3 BHK  Apartment,200,Completed Projects,58 Lac,Nana Chiloda,Not known,58.0,58.0,58.0
Anant Sky,Yes,"1, 2 BHK  Apartment",470,Completed Projects,26.50 - 45 Lac,Ranip,Not known,26.5,45.0,35.75
Aarav Arise,Yes,4 BHK  Apartment,,Completed Projects,1.91 - 2.01 Cr.,Vastrapur,Not known,191.0,200.99999999999997,196.0
Hr Evernest,Yes,1 BHK  Apartment,,Completed Projects,28 Lac,South Bopal,Not known,28.0,28.0,28.0
Samor The Gold,Yes,"4, 5 BHK  Apartment",76,Completed Projects,3.25 Cr.,Thaltej,Not known,325.0,325.0,325.0
Palash Residences,Yes,3 BHK  Apartment,88,Completed Projects,73 Lac,Bopal,Not known,73.0,73.0,73.0
Dholera Greenfield smart city,No,Residential Plot,4,Ongoing Projects,25 Lac - 5 Cr.,Bavla,Infinity Infra,25.0,500.0,262.5
Magnanimous Greenz,No,Residential Plot,500,Ongoing Projects,8.99 - 42 Lac,Dhandhuka,Magnanimous Infrastructure Pvt. Ltd,8.99,42.0,25.495
Krish Luxuria,Yes,"2, 3 BHK  Apartment",236,Ongoing Projects,23.51 - 35.27 Lac,Vastral,Savaliya Builders,23.51,35.27,29.39
